type	latitude	longitude	name
W	37.5528188	126.9242978	point1
W	37.5526981	126.9244473	point2
W	37.5525588	126.9246452	point3
W	37.5524461	126.9248752	point4
W	37.5523844	126.9248765	point5
W	37.5522090	126.9250951	point6
W	37.5521564	126.9255906	point7
W	37.5521096	126.9258857	point8
W	37.5520501	126.9259769	point9
W	37.5519820	126.9260144	point10
W	37.5518970	126.9260305	point11
W	37.5515737	126.9258910	point12
W	37.5512160	126.9256825	point13
W	37.5507529	126.9256993	point14
W	37.5503414	126.9256449	point15
W	37.5501001	126.9256309	point16
W	37.5496620	126.9255880	point17
W	37.5493616	126.9255397	point18
W	37.5492085	126.9255041	point19
W	37.5490219	126.9256161	point20
W	37.5488390	126.9257462	point21
W	37.5488284	126.9258696	point22
W	37.5487944	126.9262746	point23
W	37.5487433	126.9261351	point24
W	37.5485754	126.9261586	point25
W	37.5483010	126.9260600	point26
W	37.5478417	126.9260117	point27
W	37.5477019	126.9260379	point28
W	37.5477779	126.9242093	point29
W	37.5478906	126.9241583	point30
W	37.5477646	126.9241624	point31
